ticker,name,close,change,market,date
00400A,主動國泰動能高息,14.8,-0.21,TWSE,2026-09-11
00401A,主動摩根台灣鑫收,14.07,-0.16,TWSE,2026-09-11
00402A,主動安聯美國科技,9.46,-0.08,TWSE,2026-09-11
00403A,主動統一升級50,10.17,-0.17,TWSE,2026-09-11
00404A,主動聯博動能50,9.82,-0.15,TWSE,2026-09-11
00405A,主動富邦台灣龍耀,8.59,-0.18,TWSE,2026-09-11
00406A,主動中信台灣收益,9.44,-0.16,TWSE,2026-09-11
00407A,主動凱基台灣,9.55,-0.13,TWSE,2026-09-11
00408A,主動第一金優股息,10.26,-0.11,TWSE,2026-09-11
00409A,主動復華全球50,9.63,-0.18,TWSE,2026-09-11
00410A,主動永豐科技趨勢,11.84,-0.11,TWSE,2026-09-11
0050,元大台灣50,107.7,-1.45,TWSE,2026-09-11
0051,元大中型100,144.75,-0.75,TWSE,2026-09-11
0052,富邦科技,62.55,-1.05,TWSE,2026-09-11
0053,元大電子,241.15,-4.85,TWSE,2026-09-11
0055,元大MSCI金融,49.32,0.71,TWSE,2026-09-11
0056,元大高股息,55.3,-0.4,TWSE,2026-09-11
0057,富邦摩台,321.25,-3.6,TWSE,2026-09-11
0061,元大寶滬深,23.92,-0.15,TWSE,2026-09-11
006203,元大MSCI台灣,196.25,-3.15,TWSE,2026-09-11
006204,永豐臺灣加權,232.15,-2.2,TWSE,2026-09-11
006205,富邦上証,39.65,-0.52,TWSE,2026-09-11
006206,元大上證50,37.06,-0.3,TWSE,2026-09-11
006207,復華滬深,31.71,-0.32,TWSE,2026-09-11
006208,富邦台50,246.1,-3.45,TWSE,2026-09-11
00625K,富邦上証+R,8.55,0.0,TWSE,2026-09-11
00631L,元大台灣50正2,35.98,-1.17,TWSE,2026-09-11
00632R,元大台灣50反1,9.91,0.18,TWSE,2026-09-11
00633L,富邦上証正2,47.2,-0.7,TWSE,2026-09-11
00634R,富邦上証反1,3.15,0.02,TWSE,2026-09-11
00635U,期元大S&P黃金,44.76,-0.8,TWSE,2026-09-11
00636,國泰中國A50,27.13,-0.17,TWSE,2026-09-11
00636K,國泰中國A50+U,8.59,-0.11,TWSE,2026-09-11
00637L,元大滬深300正2,19.42,-0.28,TWSE,2026-09-11
